     2147483647,           1395,            816,            659,           1864,           1442,            991,            713,           2261,           2997,           1096,           2078,            273,           1145,           2220,           2528,           2597,            280,           2079,           1341,           2991,            787,           2987,           2382,            513,           2023,           1453,           2586,           2913,           2534,           1260,           1347,           2804,            558,           1849,           2810,            843,           1753,            238,            469,            758,           1580,            391,           1946,            498,           1889,           2846,           1319,           1958,           2981,            177,           2235,            615,           2100,           2126,           1992,             70,           1970,           1415,           1457,           1849,           2015,           2782,           1104,           1279,            437,           1415,           1684,           2490,            515,            116,           1427,           2126,           2654,           2115,           2200,            387,           1675,           1449,           2348,
           1395,     2147483647,            806,           2931,           2876,           2888,           2098,           2870,           2117,            250,            749,            992,           1519,            392,             71,           2072,           2659,            130,           2203,            828,            484,           2649,           1833,           1582,           1433,            252,            709,           1020,           1251,            861,           2558,            607,            269,           2029,            850,            929,           1179,            188,             58,           1069,           1425,           1495,           1753,             87,           2925,           2645,           2733,            695,            605,            300,            985,           2158,            275,           1246,           2498,           2820,           2536,           2748,           2028,            499,           1806,            524,           2128,           2287,            338,           2569,           1215,            504,            147,           2386,           1299,           1153,           1804,            517,           1888,           1772,           1025,           2845,           2319,           1816,
            816,            806,     2147483647,            423,           2788,             81,           1286,              7,              1,            839,            547,           2935,           1129,            313,           2049,            515,           2919,            767,           1419,           1074,           1008,           2474,           2004,           2181,           2539,           2356,           2959,           1018,           2996,           2868,           1864,           2620,           2385,           2254,            778,           2553,           1494,             48,           1774,           2782,           2955,            984,           2522,           2909,           1775,           2986,            284,            268,             73,           2780,            737,            842,            998,            432,           1532,           1680,           2148,           1657,           1064,           1919,           1449,            604,            824,           1128,           2848,           2001,           1995,           2001,            511,           1576,            114,           2893,            668,           1082,           1377,           2672,            377,           1546,           2124,           2299,
            659,           2931,            423,     2147483647,           1285,            135,           1433,           1574,           1106,           1815,            460,           2800,            169,           1552,           1310,           2208,           1270,            208,           2482,             47,           1240,            675,            922,           2820,             38,            955,            455,           1443,           2546,           1022,           1574,            902,           2782,           2899,           2055,           2832,            998,            452,           2027,             45,           1209,           1802,           1061,            271,           1171,           1159,            428,            253,             42,           1568,            903,            330,            693,           2121,            358,           2115,           1142,           2589,            738,           2278,           2887,           2925,            460,           2319,           2929,             69,           2641,           2215,            753,           2143,            360,           1805,           2940,           2553,            440,             90,           2094,           2644,           1487,            445,
           1864,           2876,           2788,           1285,     2147483647,           1361,            476,           2410,           2748,           1186,           1819,           1141,           2606,           1199,           1670,            144,           2267,           2533,           2853,           1823,            904,           1911,            894,           1277,            591,            912,           1318,           2923,            955,            618,             55,            498,           2570,             57,           1853,            719,           1130,           2175,           1503,           1722,           2744,           2174,           1551,           1804,            566,           1008,           1890,             26,            817,           1208,           1187,           1239,            242,           1101,           1432,            626,           2926,           2432,            588,           1876,             84,           2891,           2659,           1668,           2345,           2573,           1365,           2799,            437,             56,           1923,            803,           2927,           2921,           1689,           1846,            197,           2536,           2907,           1093,
           1442,           2888,             81,            135,           1361,     2147483647,             75,            458,           2701,            956,            756,           2336,            390,            422,           2126,           1869,           2691,            894,            906,           2240,            315,           1428,           1897,            156,            442,            588,            237,            960,           1879,           2125,           2933,           1362,           1277,            730,            416,           1717,           1832,           2419,            610,            137,           1831,            522,           1615,           1870,           2861,            868,           2133,            634,            460,           2598,           1050,           2496,           2143,             42,           2762,           1138,           1939,           1347,           2733,           2983,           2174,           2718,            457,             71,            487,           2400,           2668,           2230,            150,            168,            701,            124,           2731,           1524,           1864,           1931,           1535,           1166,           2716,           1265,
            991,           2098,           1286,           1433,            476,             75,     2147483647,           1544,            668,           2300,           2163,           2715,           1323,           1754,           1916,            491,           1855,           2779,           1257,           1278,            737,           2101,           2252,           2361,           2874,           2378,            806,           2769,           1561,           1147,            280,           1553,            612,           2097,           1183,            967,           2771,           2882,           2426,           1585,           2257,           2911,           1817,           1557,           2902,            498,           2460,           2898,           2712,            746,           2460,           2090,            869,           1530,           1789,           2489,           1480,            170,           2544,           2542,            627,              5,            813,            646,           2482,           2213,           2983,            485,             72,           2022,           2492,           1809,           1313,            385,            856,           2637,           1704,           2501,            855,            482,
            713,           2870,              7,           1574,           2410,            458,           1544,     2147483647,           1384,            585,            126,            259,            800,           2247,            149,           2845,           2885,            265,           2413,           1079,           1956,           1655,           1455,           1939,           2111,            723,           2544,           2773,            960,           2328,            409,           2780,           2307,           2528,            383,            518,           2380,            220,           2467,           2944,            107,            853,           1768,            353,           2322,             76,           1590,           1056,           2962,           1927,            279,            777,            995,           1588,            585,             27,            731,           2199,           2414,           2155,           1548,           2136,           2691,           1824,           1895,           2850,           2018,            480,           1441,           1278,           2627,            663,           2895,           1182,            308,           2144,             21,           1115,           1900,           2904,
           2261,           2117,              1,           1106,           2748,           2701,            668,           1384,     2147483647,           1149,           2022,           1924,           2495,           2396,           2792,           1577,           1094,           1595,           1378,           2218,            192,            190,            650,           1124,            490,           1791,           2853,           2490,           2150,           1369,            299,           2427,            556,           1216,           1694,           1942,           2875,           2704,           2559,           2331,            234,            680,            831,           1854,           1060,            573,            466,           2148,            170,           1421,            398,           2837,           2436,           1481,            421,           2276,           1399,           1268,           2577,            103,            977,           2268,            673,           1365,            368,           1173,           1856,           2485,            670,           2467,            112,           1276,           2310,            938,            908,             29,           1107,           1676,           2326,           2648,
           2997,            250,            839,           1815,           1186,            956,           2300,            585,           1149,     2147483647,           1633,           1636,            368,           2970,           1688,           2662,            697,           1912,           1445,           2201,            716,           2817,           2515,            269,           2614,           2490,            341,             81,           1787,            936,            213,           1931,            315,           1870,           1266,            657,           2377,            175,           1217,           2340,           2652,            914,            350,           2994,            249,           1848,           1911,           2805,            614,           1952,            799,           2768,           1328,            787,           1747,            555,            593,           1096,             36,            576,           2500,           2296,           2125,           1864,           1603,            278,           2361,           2961,            738,           1834,           2660,           2671,           1175,            627,            285,           1225,           2470,           2638,            146,            168,
           1096,            749,            547,            460,           1819,            756,           2163,            126,           2022,           1633,     2147483647,            142,           1224,           2382,           1092,            775,            541,           1951,           1913,            203,           2631,           2601,            480,            994,           2825,           1102,           1940,           2489,           2741,           2186,            109,           1906,           2780,            707,           2723,            152,           2523,            986,           2039,           1931,           1302,           2606,            637,            802,           2735,              6,           1222,            600,            367,           1811,            579,           1820,           1061,           2274,           2404,           2565,            941,           1619,           2233,            986,           1657,            765,           1829,           2069,           2143,           2639,           2203,             40,           1649,           2962,           1544,           1822,           1801,           2041,            842,            496,           2394,           1622,           2269,            273,
           2078,            992,           2935,           2800,           1141,           2336,           2715,            259,           1924,           1636,            142,     2147483647,           1737,           2848,           1047,            867,             65,            761,            740,           1640,            992,             96,           2714,           2426,            887,           2089,           1833,            838,            815,             28,           2997,            221,            470,           1256,           2018,            769,           1687,           2921,             64,           1804,           2016,            828,           2139,           1878,           2680,           1710,           2070,            101,            792,           2255,           2543,            496,           2067,            119,           1622,            944,           2726,           2767,            500,            595,            166,           2719,           1308,           2222,           2037,           2034,            615,           1656,            199,            746,           1731,           1983,           1927,           2373,             94,           2746,            876,            228,            349,           1597,
            273,           1519,           1129,            169,           2606,            390,           1323,            800,           2495,            368,           1224,           1737,     2147483647,            980,            554,           2114,            253,           1418,            827,           1891,           2865,           2854,           1708,           1159,           1804,           1420,            248,           1772,           1091,           2943,            889,            640,            237,           1730,           1399,            876,           2594,           1073,           2819,           1885,           1951,            305,            976,           1592,            138,           2789,           2135,           2273,           2530,           2072,           2527,           1674,            495,           2407,            174,           2586,             10,           2171,           1403,           1504,           2638,             60,           1800,            187,           2362,            618,             59,            266,           1265,           2854,           1933,           2442,           2955,           1088,            327,           1508,            881,            848,           2532,           2005,
           1145,            392,            313,           1552,           1199,            422,           1754,           2247,           2396,           2970,           2382,           2848,            980,     2147483647,            504,           1559,           2630,           1941,           2660,            360,            284,           2723,           1093,           2608,           2868,            316,            521,           2798,           2910,           1374,            587,           1096,            835,            773,           1262,           1890,           1415,            616,           2446,           2472,            889,           1666,            327,            707,            907,           1878,           2576,            734,            155,           1764,           2659,            653,           1667,            869,           1539,           2580,           1514,           2485,           2691,           2124,           1770,            365,            537,            530,           1996,             76,           2930,           2026,           2092,           2516,           1802,            721,            847,           1080,            947,           1947,           1723,            361,           1681,            397,
           2220,             71,           2049,           1310,           1670,           2126,           1916,            149,           2792,           1688,           1092,           1047,            554,            504,     2147483647,           1729,           2229,           2498,           1550,           2742,           1416,           2215,           1289,           1535,           1773,           1235,             35,            903,            562,           2158,            119,           1196,            102,            559,           1930,           1254,           1922,            220,           1714,           2664,            778,           2110,            279,            425,           2400,            303,            758,           2751,           1933,           1679,           2893,            783,            829,           2406,           2648,            966,           1075,           1275,           2117,            286,           1329,           1829,           1756,           1503,           2081,             21,           1101,           1745,            970,           1362,           1633,            759,           1622,           2191,           1805,           1744,            180,            934,           2998,           1631,
           2528,           2072,            515,           2208,            144,           1869,            491,           2845,           1577,           2662,            775,            867,           2114,           1559,           1729,     2147483647,            518,           1105,           2134,            609,            690,           2481,           1727,            849,           1199,           1649,             91,           1641,           1100,           2184,           2242,            971,           2388,            725,            981,           1240,           2763,           2098,            167,            833,           1464,           1797,           2809,           1761,           2036,           1970,           2244,            511,            358,           1663,            189,           2913,           2518,             20,           1255,           2709,           2330,           1237,            469,           1470,           2980,           2772,           1725,            214,           1175,           1271,           1165,           1814,           2674,           1734,           1676,           2821,            857,           1245,           1167,           2024,           2689,            796,             61,           2141,
           2597,           2659,           2919,           1270,           2267,           2691,           1855,           2885,           1094,            697,            541,             65,            253,           2630,           2229,            518,     2147483647,           1207,           2700,           2294,           1160,            793,            332,           2090,           1588,           1579,           1745,           1511,            250,           1636,           2398,           1876,           2560,           2771,           1853,           1349,           2902,            673,           2390,            603,           1138,           1161,            837,            293,            825,           1112,           2685,           2372,           1851,            601,           2156,           2472,           1884,           2191,           1555,           1408,           1620,            202,           1783,           1107,            310,            729,           1286,           2097,           2347,            669,           2622,           1909,           2685,           1978,           1746,           1449,            402,           2185,            747,           1294,            144,           1672,           1011,           2438,
            280,            130,            767,            208,           2533,            894,           2779,            265,           1595,           1912,           1951,            761,           1418,           1941,           2498,           1105,           1207,     2147483647,           1589,           2470,           2278,            895,           1563,           1475,           1654,            728,           2004,           1409,           2481,           1676,           2047,            477,            854,           2010,            766,           1239,           2586,           1280,           2456,           2894,            170,           2260,           1648,           1652,            438,           2665,           2817,            528,           1857,            678,           1996,            569,            767,            561,           2696,            838,           2639,           1410,            230,            709,            471,           1220,           1399,            227,            656,           1567,           1723,           1934,            141,           2113,           2760,            751,            957,           1996,           1922,           1739,            929,            147,           1952,           1556,
